id#,species,year,country,Latitude,Longitude
18288360,Trifolium repens,1978,US,8.799444,-36.753056
7709278,Trifolium repens,1977,US,25.44789,-80.479224
7062452,Trifolium repens,1996,US,26.8822,-80.0567
6827685,Trifolium repens,1979,US,27.303038,-82.233064
4594455,Trifolium repens,2000,US,27.543283,-81.822083
19364803,Trifolium repens,2015,US,27.7164,-80.9461
19247927,Trifolium repens,2003,US,28.1478,-80.7325
19332963,Trifolium repens,2013,US,28.2181,-81.3175
19273746,Trifolium repens,2009,US,28.2942,-82.0397
21637503,Trifolium repens,2015,US,28.3344,-81.2217
19326781,Trifolium repens,2012,US,28.4861,-82.31
19336425,Trifolium repens,2013,US,28.7256,-81.2639
19317796,Trifolium repens,2012,US,28.7572,-81.2855
15059131,Trifolium repens,1939,US,28.785651,-96.003981
14930493,Trifolium repens,1939,US,28.785651,-96.003981
19323062,Trifolium repens,2012,US,28.8056,-82.5775
19351252,Trifolium repens,2015,US,29.2547,-81.1294
10737657,Trifolium repens,2004,US,29.3664,-82.7242
10738372,Trifolium repens,2004,US,29.3664,-82.7242
24942107,Trifolium repens,1976,US,29.379107,-91.287122
13586412,Trifolium repens,1997,US,29.460556,-94.952778
19322449,Trifolium repens,2012,US,29.4753,-81.1814
19332262,Trifolium repens,2013,US,29.4817,-81.2681
19332681,Trifolium repens,2013,US,29.4864,-81.2764
16598767,Trifolium repens,1959,US,29.507454,-95.09493
19904713,Trifolium repens,2008,US,29.57286,-97.98491
19908346,Trifolium repens,2017,US,29.57301667,-97.98221667
19924694,Trifolium repens,2015,US,29.57346667,-97.98221667
24942114,Trifolium repens,1967,US,29.59577,-90.719535
16053481,Trifolium repens,2002,US,29.61187,-82.41072
19331696,Trifolium repens,2013,US,29.6187,-82.3831
10738374,Trifolium repens,2008,US,29.6442,-82.3458
24942073,Trifolium repens,1967,US,29.666699,-90.466709
16079321,Trifolium repens,2014,US,29.72531,-81.98794
23976376,Trifolium repens,2003,US,29.732,-81.311
12395870,Trifolium repens,2006,US,29.7436,-90.1386
19333451,Trifolium repens,2013,US,29.7717,-81.6389
19351543,Trifolium repens,2015,US,29.7906,-82.0406
24941060,Trifolium repens,1964,US,29.8,-91.8
24942086,Trifolium repens,1968,US,29.832382,-93.459053
10738373,Trifolium repens,2008,US,29.9038,-83.0718
19321793,Trifolium repens,2012,US,29.9183,-81.4133
24942052,Trifolium repens,1968,US,29.921648,-91.203159
12396537,Trifolium repens,2005,US,29.9378,-89.9906
24941070,Trifolium repens,1959,US,29.937905,-90.057972
12396373,Trifolium repens,2005,US,29.94,-89.9944
12396374,Trifolium repens,2005,US,29.94,-89.9944
19338092,Trifolium repens,2013,US,29.9422,-83.2658
19334714,Trifolium repens,2013,US,29.9517,-82.5124
22471751,Trifolium repens,1885,US,29.95465,-90.07507
19327514,Trifolium repens,2012,US,29.9556,-82.0569
19322028,Trifolium repens,2012,US,29.9633,-81.4931
19322487,Trifolium repens,2012,US,29.9833,-81.8072
24942128,Trifolium repens,1973,US,30.033201,-90.415812
19323386,Trifolium repens,2012,US,30.1094,-82.1653
20973494,Trifolium repens,2016,US,30.125115,-93.604549
5675282,Trifolium repens,1993,US,30.1252778,-91.0105556
19359056,Trifolium repens,2015,US,30.1544,-85.5897
19322211,Trifolium repens,2012,US,30.17,-82.1844
22694948,Trifolium repens,1966,US,30.174813,-84.21006
24942110,Trifolium repens,1968,US,30.180184,-91.158922
19355923,Trifolium repens,2015,US,30.1967,-84.1519
19322198,Trifolium repens,2012,US,30.2022,-82.0139
6590723,Trifolium repens,2013,US,30.202247,-82.013958
24942036,Trifolium repens,1976,US,30.204956,-92.019566
24942091,Trifolium repens,1976,US,30.204956,-92.019566
24942076,Trifolium repens,1988,US,30.214403,-92.01345
24942111,Trifolium repens,1993,US,30.22409,-92.019843
24942048,Trifolium repens,1968,US,30.224106,-93.220853
24942069,Trifolium repens,1968,US,30.233327,-93.566703
24942096,Trifolium repens,1993,US,30.234924,-92.285265
16823551,Trifolium repens,1965,US,30.24944,-88.12361
7707710,Trifolium repens,1965,US,30.249914,-88.123579
13513628,Trifolium repens,2004,US,30.25,-94.166667
6744338,Trifolium repens,1966,US,30.250617,-88.117605
19333467,Trifolium repens,2013,US,30.2522,-83.0406
14875361,Trifolium repens,1945,US,30.263566,-94.553137
24942082,Trifolium repens,1968,US,30.275194,-89.781174
13502814,Trifolium repens,1996,US,30.3025,-97.749167
24942038,Trifolium repens,1967,US,30.33086,-93.254896
15015799,Trifolium repens,1885,US,30.347419,-84.980194
6025054,Trifolium repens,1975,US,30.365971,-89.602899
5649434,Trifolium repens,2005,US,30.3672,-87.1281
5675290,Trifolium repens,1987,US,30.36981,-91.16992
19259046,Trifolium repens,2007,US,30.3742,-85.0919
19330513,Trifolium repens,2013,US,30.3761,-83.2967
6747112,Trifolium repens,1939,US,30.38167,-89.04389
5675289,Trifolium repens,1993,US,30.3833333,-91.1833333
7709280,Trifolium repens,1955,US,30.386585,-84.797969
23977151,Trifolium repens,2005,US,30.387,-81.511
19357527,Trifolium repens,2015,US,30.3883,-84.6844
5750344,Trifolium repens,2005,US,30.4,-88.7947
12398744,Trifolium repens,2005,US,30.4,-88.7947
24942106,Trifolium repens,1970,US,30.411041,-91.177077
5695738,Trifolium repens,1899,US,30.4146247,-91.1762223
5675292,Trifolium repens,1907,US,30.4146247,-91.1762223
5675293,Trifolium repens,1925,US,30.4146247,-91.1762223
5675295,Trifolium repens,1975,US,30.4146247,-91.1762223
5675288,Trifolium repens,1980,US,30.4146247,-91.1762223
5685729,Trifolium repens,1986,US,30.4146247,-91.1762223
14673144,Trifolium repens,1964,US,30.430352,-94.667305
6025055,Trifolium repens,1996,US,30.43491,-88.824791
19357519,Trifolium repens,2015,US,30.4353,-85.3717
19357911,Trifolium repens,2015,US,30.4356,-85.4419
19356195,Trifolium repens,2015,US,30.4428,-85.6883
24942112,Trifolium repens,1968,US,30.450746,-91.154551
24942115,Trifolium repens,1971,US,30.452131,-91.243788
4159592,Trifolium repens,1966,US,30.45845973,-84.27766976
4159593,Trifolium repens,1974,US,30.45845973,-84.27766976
16823544,Trifolium repens,1959,US,30.48333,-87.68333
24942088,Trifolium repens,1967,US,30.502107,-90.663632
723944,Trifolium repens,2004,US,30.5132,-87.887
13281082,Trifolium repens,2009,US,30.5941194,-81.4555222
24941016,Trifolium repens,1981,US,30.620189,-92.813252
19332255,Trifolium repens,2013,US,30.6203,-81.6478
19351281,Trifolium repens,2015,US,30.6625,-81.6347
19322498,Trifolium repens,2012,US,30.6981,-81.6775
19332260,Trifolium repens,2013,US,30.715,-81.6742
24942102,Trifolium repens,1968,US,30.749184,-90.084248
16075742,Trifolium repens,1999,US,30.7561667,-81.7446667
7707745,Trifolium repens,1967,US,30.784161,-83.053754
9764503,Trifolium repens,2006,US,30.79492,-81.80173
18534899,Trifolium repens,2006,US,30.79492,-81.80173
24941034,Trifolium repens,1966,US,30.823138,-91.432401
7707750,Trifolium repens,1966,US,30.863919,-83.315733
18288530,Trifolium repens,1966,US,30.863919,-83.315733
4159594,Trifolium repens,1981,US,30.87515641,-84.23434754
15259495,Trifolium repens,1947,US,30.881491,-93.996576
24941079,Trifolium repens,1965,US,30.929345,-91.538195
22668039,Trifolium repens,2001,US,31.03278,-85.86389
12804779,Trifolium repens,2008,US,31.065553,-86.095806
13284733,Trifolium repens,1988,US,31.104927,-81.413666
6459189,Trifolium repens,2013,US,31.13794,-81.58069
5896585,Trifolium repens,1998,US,31.15083333,-90.8005
10923768,Trifolium repens,1998,US,31.16666,-90.8
6025057,Trifolium repens,1997,US,31.181233,-89.224618
14589150,Trifolium repens,2014,US,31.453608,-110.39333
12790944,Trifolium repens,2005,US,31.472826,-85.659379
1095814,Trifolium repens,1992,US,31.557767,-110.354103
5577476,Trifolium repens,1983,US,31.5642,-110.5366
24942047,Trifolium repens,1967,US,31.690404,-93.202272
6349781,Trifolium repens,1978,US,31.69522,-89.09758
15852850,Trifolium repens,1973,US,31.76666667,-106.7333333
13709487,Trifolium repens,1971,US,31.768723,-106.504097
15842606,Trifolium repens,1971,US,31.770834,-106.504784
15842875,Trifolium repens,1971,US,31.770834,-106.504784
15842458,Trifolium repens,1971,US,31.770834,-106.504784
15842502,Trifolium repens,1973,US,31.770834,-106.504784
15842887,Trifolium repens,1973,US,31.770834,-106.504784
15842888,Trifolium repens,1973,US,31.770834,-106.504784
15842830,Trifolium repens,1973,US,31.770834,-106.504784
12790947,Trifolium repens,1995,US,31.808077,-86.004858
24942051,Trifolium repens,1968,US,31.821551,-93.046687
14220112,Trifolium repens,1994,US,31.836952,-95.165179
14221598,Trifolium repens,1996,US,31.836952,-95.165179
16598768,Trifolium repens,1966,US,31.845682,-102.367643
16598771,Trifolium repens,1967,US,31.845682,-102.367643
6750196,Trifolium repens,1937,US,31.868666,-89.750333
873520,Trifolium repens,1989,US,31.8801,-109.2126
12818986,Trifolium repens,2012,US,31.890042,-85.707117
12820411,Trifolium repens,2012,US,31.895,-85.665472
7070325,Trifolium repens,2008,US,31.9176,-86.8697
24942085,Trifolium repens,1967,US,31.919807,-93.839899
12790940,Trifolium repens,2007,US,31.924694,-86.866
16823546,Trifolium repens,2007,US,31.92472,-86.86611
24942109,Trifolium repens,1968,US,31.940058,-92.805951
12790948,Trifolium repens,2003,US,31.959167,-86.141889
691209,Trifolium repens,1974,US,32.0044,-109.356
6349232,Trifolium repens,1973,US,32.0089,-91.0317
24942033,Trifolium repens,1967,US,32.029115,-91.240946
6351446,Trifolium repens,1989,US,32.159,-89.3405
14372961,Trifolium repens,1967,US,32.1666667,-81.3333333
14371176,Trifolium repens,1967,US,32.1666667,-81.3333333
11539822,Trifolium repens,2013,US,32.19773,-84.12704
6350098,Trifolium repens,1990,US,32.20361111,-89.47527778
20350264,Trifolium repens,2018,US,32.2458,-81.474
16823552,Trifolium repens,2004,US,32.25694,-86.17305
12790946,Trifolium repens,2004,US,32.256944,-86.173139
22925085,Trifolium repens,2004,US,32.25694444,-86.17305556
24942049,Trifolium repens,1968,US,32.259038,-91.747626
6040033,Trifolium repens,2010,US,32.2655,-107.7681833
24942066,Trifolium repens,1968,US,32.281825,-93.815487
21942936,Trifolium repens,2018,US,32.29979,-90.8596
24942079,Trifolium repens,1968,US,32.316293,-91.774849
16823553,Trifolium repens,1977,US,32.3575,-86.29305
5755201,Trifolium repens,2010,US,32.360323,-91.13286
6748106,Trifolium repens,1937,US,32.368865,-88.682765
14221293,Trifolium repens,1981,US,32.375035,-95.269183
14220110,Trifolium repens,1981,US,32.375035,-95.269183
14221630,Trifolium repens,2008,US,32.375035,-95.269183
14221292,Trifolium repens,2008,US,32.375035,-95.269183
14221294,Trifolium repens,2009,US,32.375035,-95.269183
16973349,Trifolium repens,2016,US,32.423224,-81.787708
5577477,Trifolium repens,1989,US,32.4242,-110.7398
